STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,LABEMP_STATUS,Labour and employment status,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,1,Employees,2019,,10.76,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,U,Urban,PWD,Persons without disability,U,Unemployed,2019,,144,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,NU,Niue,LABEMPAF,Number of persons by professional status,M,Male,Y55T64,55-64,_T,National,PWD,Persons without disability,_T,All labour and employment statuses,2017,,88,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,FM,Micronesia (Federated States of),LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,R,Rural,_T,No breakdown by disability,5,Contributing family workers,2013,,1.26,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,NU,Niue,LABEMPAF,Number of persons by professional status,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2015,,82,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,NU,Niue,LABEMPAF,Number of persons by professional status,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2017,,80,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,E,Employed,2016,,324,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,E,Employed,2018,,467,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,E,Employed,2021,,553,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,M,Male,_T,All ages,_T,National,PWD,Persons without disability,E,Employed,2015,,14289,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,M,Male,_T,All ages,_T,National,PWD,Persons without disability,E,Employed,2019,,14666,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Employers,2015,,0.25,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Employers,2019,,1,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,M,Male,Y65T999,65+,U,Urban,PWD,Persons without disability,_T,All labour and employment statuses,2015,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,SB,Solomon Islands,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,U,Unemployed,2012,,2.55,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,2,Employers,2015,,1.11,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,_T,All ages,R,Rural,PD,Persons with disability,_T,All labour and employment statuses,2016,,1245,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,_T,All ages,R,Rural,PD,Persons with disability,_T,All labour and employment statuses,2018,,805,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,_T,All ages,R,Rural,PD,Persons with disability,_T,All labour and employment statuses,2021,,1418,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPAF,Number of persons by professional status,M,Male,Y65T999,65+,R,Rural,PD,Persons with disability,_T,All labour and employment statuses,2019,,100,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,3,Own-account workers,2016,,6.64,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,3,Own-account workers,2018,,2.75,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,U,Urban,PWD,Persons without disability,3,Own-account workers,2021,,13.78,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,R,Rural,_T,No breakdown by disability,3,Own-account workers,2015,,24.21,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,R,Rural,_T,No breakdown by disability,3,Own-account workers,2019,,10.5,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,R,Rural,_T,No breakdown by disability,U,Unemployed,2016,,1.39,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,R,Rural,_T,No breakdown by disability,U,Unemployed,2018,,2.14,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,R,Rural,_T,No breakdown by disability,U,Unemployed,2021,,2.51,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,_T,Total,Y55T64,55-64,_T,National,PWD,Persons without disability,_T,All labour and employment statuses,2015,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,_T,Total,Y15T24,15-24,R,Rural,_T,No breakdown by disability,_T,All labour and employment statuses,2015,,9569,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,_T,Total,Y15T24,15-24,R,Rural,_T,No breakdown by disability,_T,All labour and employment statuses,2019,,10709,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,_T,All labour and employment statuses,2019,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2015,,679,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2017,,604,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPAF,Number of persons by professional status,F,Female,_T,All ages,U,Urban,PWD,Persons without disability,U,Unemployed,2015,,12,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,6,Workers not classifiable by status,2019,,2.11,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,R,Rural,PWD,Persons without disability,6,Workers not classifiable by status,2016,,0.36,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,R,Rural,PWD,Persons without disability,6,Workers not classifiable by status,2018,,17.66,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,SB,Solomon Islands,LABEMPRF,Proportion of persons by professional status,_T,Total,Y25T54,25-54,R,Rural,_T,No breakdown by disability,1,Employees,2012,,15.16,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,_T,All labour and employment statuses,2016,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,_T,All labour and employment statuses,2018,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,_T,All labour and employment statuses,2021,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,O,Outside Labour Force,2016,,68.72,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,O,Outside Labour Force,2018,,93.23,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,M,Male,Y55T64,55-64,_T,National,PD,Persons with disability,O,Outside Labour Force,2021,,65.22,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,M,Male,Y65T999,65+,U,Urban,PWD,Persons without disability,E,Employed,2019,,38.89,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPAF,Number of persons by professional status,F,Female,Y65T999,65+,U,Urban,PD,Persons with disability,O,Outside Labour Force,2017,,34,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPAF,Number of persons by professional status,M,Male,Y25T54,25-54,R,Rural,PWD,Persons without disability,U,Unemployed,2015,,10,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,O,Outside Labour Force,2016,,264,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,O,Outside Labour Force,2018,,179,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y25T54,25-54,_T,National,PD,Persons with disability,O,Outside Labour Force,2021,,231,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,U,Urban,PD,Persons with disability,_T,All labour and employment statuses,2016,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,U,Urban,PD,Persons with disability,_T,All labour and employment statuses,2018,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,U,Urban,PD,Persons with disability,_T,All labour and employment statuses,2021,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,E,Employed,2015,,11.4,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,R,Rural,_T,No breakdown by disability,1,Employees,2019,,6.52,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,WS,Samoa,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,R,Rural,_T,No breakdown by disability,U,Unemployed,2013,,0.79,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,1,Employees,2015,,64.35,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,1,Employees,2017,,58.06,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y55T64,55-64,R,Rural,_T,No breakdown by disability,E,Employed,2016,,621,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y55T64,55-64,R,Rural,_T,No breakdown by disability,E,Employed,2018,,803,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y55T64,55-64,R,Rural,_T,No breakdown by disability,E,Employed,2021,,969,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPAF,Number of persons by professional status,_T,Total,Y55T64,55-64,U,Urban,PD,Persons with disability,_T,All labour and employment statuses,2019,,286,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,R,Rural,PWD,Persons without disability,O,Outside Labour Force,2019,,14602,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPAF,Number of persons by professional status,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,E,Employed,2019,,3218,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,3,Own-account workers,2015,,2.13,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,R,Rural,_T,No breakdown by disability,3,Own-account workers,2017,,0.67,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPAF,Number of persons by professional status,F,Female,Y55T64,55-64,U,Urban,PD,Persons with disability,O,Outside Labour Force,2019,,128,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,U,Unemployed,2019,,5.25,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,U,Unemployed,2015,,165,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,U,Unemployed,2019,,64,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TV,Tuvalu,LABEMPRF,Proportion of persons by professional status,_T,Total,Y55T64,55-64,R,Rural,PWD,Persons without disability,E,Employed,2017,,13.93,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,MH,Marshall Islands,LABEMPRF,Proportion of persons by professional status,M,Male,Y25T54,25-54,U,Urban,_T,No breakdown by disability,3,Own-account workers,2011,,2.33,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y55T64,55-64,R,Rural,PWD,Persons without disability,U,Unemployed,2015,,4.04,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2019,,67.29,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,CK,Cook Islands,LABEMPRF,Proportion of persons by professional status,M,Male,Y65T999,65+,U,Urban,_T,No breakdown by disability,1,Employees,2015,,12.91,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,FM,Micronesia (Federated States of),LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2013,,81.06,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,_T,Total,Y55T64,55-64,R,Rural,PWD,Persons without disability,6,Workers not classifiable by status,2019,,3.85,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,SB,Solomon Islands,LABEMPRF,Proportion of persons by professional status,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2012,,71.35,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPRF,Proportion of persons by professional status,F,Female,_T,All ages,U,Urban,_T,No breakdown by disability,O,Outside Labour Force,2019,,41.1,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y55T64,55-64,_T,National,PWD,Persons without disability,_T,All labour and employment statuses,2015,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPRF,Proportion of persons by professional status,F,Female,Y55T64,55-64,_T,National,PWD,Persons without disability,_T,All labour and employment statuses,2019,,100,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,CK,Cook Islands,LABEMPRF,Proportion of persons by professional status,_T,Total,Y55T64,55-64,R,Rural,_T,No breakdown by disability,3,Own-account workers,2015,,7.57,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,SB,Solomon Islands,LABEMPRF,Proportion of persons by professional status,_T,Total,Y65T999,65+,_T,National,_T,No breakdown by disability,3,Own-account workers,2012,,6.93,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPRF,Proportion of persons by professional status,_T,Total,Y15T24,15-24,_T,National,PWD,Persons without disability,E,Employed,2015,,28.26,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,WS,Samoa,LABEMPRF,Proportion of persons by professional status,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,1,Employees,2013,,12.48,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,SB,Solomon Islands,LABEMPRF,Proportion of persons by professional status,F,Female,Y25T54,25-54,R,Rural,_T,No breakdown by disability,2,Employers,2012,,0.31,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,3,Own-account workers,2015,,233,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,KI,Kiribati,LABEMPAF,Number of persons by professional status,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,3,Own-account workers,2019,,113,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPAF,Number of persons by professional status,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2013,,1111,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,PW,Palau,LABEMPAF,Number of persons by professional status,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,O,Outside Labour Force,2015,,893,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,VU,Vanuatu,LABEMPAF,Number of persons by professional status,_T,Total,Y65T999,65+,U,Urban,_T,No breakdown by disability,3,Own-account workers,2019,,388,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,R,Rural,PWD,Persons without disability,5,Contributing family workers,2016,,67,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,R,Rural,PWD,Persons without disability,5,Contributing family workers,2018,,213,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,TO,Tonga,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,R,Rural,PWD,Persons without disability,5,Contributing family workers,2021,,159,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,NR,Nauru,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,U,Unemployed,2011,,380,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,NR,Nauru,LABEMPAF,Number of persons by professional status,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,U,Unemployed,2012,,180,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,WS,Samoa,LABEMPAF,Number of persons by professional status,M,Male,Y65T999,65+,R,Rural,_T,No breakdown by disability,E,Employed,2013,,780,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_LABEMP(1.0),Population by labour force and employment status,I,A,Annual,FM,Micronesia (Federated States of),LABEMPAF,Number of persons by professional status,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,1,Employees,2013,,573,,N,units,,,,,,,,,,
